f_name,pic_url,rate,comm,url,address,b_time,geo_loc
走咖啡 Gofor Cafe,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrfEwZ3kG3v9Dqnw1ljakhlByJvm40cBbEqgYpRaO9IRSRoz-8fPQXoV5U3ThbBrOLbMB6pR1dOnVCF0pKlTuXtIgBROkPSRyc8bX9_qXAyF8y8woMheBNtBwXsUI2czp_bcv-7=w122-h92-k-no,4.9,387,https://www.google.com.tw/maps/place/%E8%B5%B0%E5%92%96%E5%95%A1+Gofor+Cafe/data=!4m7!3m6!1s0x3442ab9f743f42b7:0xe19fc574cc9a094c!8m2!3d25.043225!4d121.547623!16s%2Fg%2F11r9lt70gv!19sChIJt0I_dJ-rQjQRTAmazHTFn-E?authuser=0&hl=zh-TW&rclk=1,106台北市大安區大安路一段51巷33號,星期三、13:00 到 22:00; 星期四、13:00 到 22:00; 星期五、13:00 到 22:00; 星期六、13:00 到 22:00; 星期日、13:00 到 22:00; 星期一、休息; 星期二、13:00 到 22:00. 隱藏本週營業時間,"25.043225,121.547623"
台北日常咖啡商行 Regular Taipei cafe 優格 早餐,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nryiMWqjdrrZxqLqXrfXjdytgeO7hnDVIYxAz_eOLuYHgbEl07QZJCnudUM8DOhj70sPW0ch1tTRkEf7K7ev_ql91DqVZNnlsIdZb8jCwPYEaCYz80ql3DV1XMcNK8tsVmXMWnf5w=w122-h92-k-no,4.6,259,https://www.google.com.tw/maps/place/%E5%8F%B0%E5%8C%97%E6%97%A5%E5%B8%B8%E5%92%96%E5%95%A1%E5%95%86%E8%A1%8C+Regular+Taipei+cafe+%E5%84%AA%E6%A0%BC+%E6%97%A9%E9%A4%90/data=!4m7!3m6!1s0x3442ab98f7876d53:0x33f004cc1a13835f!8m2!3d25.043695!4d121.5458282!16s%2Fg%2F11t4_ymjgj!19sChIJU22H95irQjQRX4MTGswE8DM?authuser=0&hl=zh-TW&rclk=1,106台北市大安區復興南路一段107巷35號,星期三、08:00 到 17:00; 星期四、08:00 到 17:00; 星期五、08:00 到 17:00; 星期六、08:00 到 17:00; 星期日、08:00 到 17:00; 星期一、08:00 到 17:00; 星期二、08:00 到 17:00. 隱藏本週營業時間,"25.043695,121.5458282"
annyoung cafe,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noJVMshsliQjt-X7NEseCMhiJTwSKxNZK9D2OWNsrw8NUTy77wtZ85RcfAATM0k4SZZAqwdjmTC2q2M1LXi7DDew8hbMaAVu3JsoVYeAl_CSoOtjDCNrncO3XhlQCipDfCK1nJw=w122-h92-k-no,4.4,790,https://www.google.com.tw/maps/place/annyoung+cafe/data=!4m7!3m6!1s0x3442ab4473fc64f9:0x6b7ecf660b585b3!8m2!3d25.04248!4d121.553625!16s%2Fg%2F11j9h95j2c!19sChIJ-WT8c0SrQjQRs4W1YPbstwY?authuser=0&hl=zh-TW&rclk=1,106台北市大安區延吉街70巷5弄2號1樓,星期三、12:00 到 23:00; 星期四、12:00 到 23:00; 星期五、12:00 到 23:00; 星期六、12:00 到 23:00; 星期日、12:00 到 23:00; 星期一、12:00 到 23:00; 星期二、12:00 到 23:00. 隱藏本週營業時間,"25.04248,121.553625"
Cafe insomnie,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np5IVi9lH-gpifqso6FxIr-v6VVPK19ecNVTjYkZkP67rzwXxJyDYJVTpX7AAUdVtRSHsPI4_XhH94M15tm38n-F2QC4mWH6lL-nQ9c7AJYaWL4QP3Uf2uX10GM-nKxK2cM7ChzEA=w122-h92-k-no,4.8,250,https://www.google.com.tw/maps/place/Cafe+insomnie/data=!4m7!3m6!1s0x3442abf9177d2377:0xcef9bf5dbb2d30a5!8m2!3d25.046574!4d121.543066!16s%2Fg%2F11sh7cwcrk!19sChIJdyN9F_mrQjQRpTAtu12_-c4?authuser=0&hl=zh-TW&rclk=1,104098台北市中山區復興南路一段30巷14號一樓,星期三、休息; 星期四、12:00 到 19:00; 星期五、12:00 到 19:00; 星期六、12:00 到 19:00; 星期日、休息; 星期一、12:00 到 19:00; 星期二、12:00 到 19:00. 隱藏本週營業時間,"25.046574,121.543066"
Homey's cafe,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noimjG0kqbP0n0HibI_SxzR5FxxLTnW-OuYyiThwOiaBAPK6kx4Fhc3zTo9gFydQni2_YAfa4dQGd8liA9IIJl92Fg-4fENXHwdl29JmLGqV11YGioZ6oOUuG2IymhfVmbNro3C0Q=w122-h92-k-no,4.3,"1,082",https://www.google.com.tw/maps/place/Homey%27s+cafe/data=!4m7!3m6!1s0x3442abd06e2f88b1:0x6414376b1f3e1b9f!8m2!3d25.0405171!4d121.54658!16s%2Fg%2F1v_skyym!19sChIJsYgvbtCrQjQRnxs-H2s3FGQ?authuser=0&hl=zh-TW&rclk=1,106台北市大安區敦化南路一段236巷36號從公寓中間樓梯上樓2樓,星期三、12:00 到 23:00; 星期四、12:00 到 23:00; 星期五、12:00 到 23:00; 星期六、12:00 到 23:00; 星期日、12:00 到 23:00; 星期一、12:00 到 23:00; 星期二、12:00 到 23:00. 隱藏本週營業時間,"25.0405171,121.54658"
寓曰 Cafe’ Bar Restaurant,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqACRRXs0C9mERs48AvOKX4GWgQr7rqVgaGDOuL5wDjDV2knzDM6WJk-uNsMhsHKPiOsQv430TnNOygYup6rno5pXs8IPFHkm5xl0U_xnoFoygkVbGjj0DMXd39oMsd5GYV49SO=w80-h106-k-no,4.8,518,https://www.google.com.tw/maps/place/%E5%AF%93%E6%9B%B0+Cafe%E2%80%99+Bar+Restaurant/data=!4m7!3m6!1s0x3442abbf29cedcdd:0x385ad274a801b9eb!8m2!3d25.0448262!4d121.5453201!16s%2Fg%2F11sck8ww86!19sChIJ3dzOKb-rQjQR67kBqHTSWjg?authuser=0&hl=zh-TW&rclk=1,106台北市大安區市民大道四段34號,星期三、11:30 到 02:00; 星期四、11:30 到 02:00; 星期五、11:30 到 02:00; 星期六、11:30 到 02:00; 星期日、11:30 到 02:00; 星期一、休息; 星期二、11:30 到 02:00. 隱藏本週營業時間,"25.0448262,121.5453201"
夏洛特咖啡,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqgVvzUMW810BnYEc_7omV9FokLgr3uSZu3Vxc1E1W-Xy9Q6B0JALirtVXbe7ViIETMPeZdHoC0W8CG5N9EGUxQvMyehHA1LzCOkEIxlApCUpU7-REvQst8wBbW3GiTI4uRMivd=w122-h92-k-no,4.6,640,https://www.google.com.tw/maps/place/%E5%A4%8F%E6%B4%9B%E7%89%B9%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3442abd5d7d0f737:0x1cc26ccbc92cc72a!8m2!3d25.044025!4d121.544418!16s%2Fg%2F1thp5pyj!19sChIJN_fQ19WrQjQRKscsyctswhw?authuser=0&hl=zh-TW&rclk=1,106台北市大安區復興南路一段107巷5弄5號,星期三、12:00 到 23:00; 星期四、12:00 到 23:00; 星期五、12:00 到 23:00; 星期六、12:00 到 23:00; 星期日、12:00 到 23:00; 星期一、12:00 到 23:00; 星期二、12:00 到 23:00. 隱藏本週營業時間,"25.044025,121.544418"
Dreamers Coffee Roasters 微風復興店,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrjbbl1Af9i90JkdoyHjPXdbe1F8eog1S7eE3vaFpaskLr1M2tiyx-5NXX9cj_qxVx9HplNQGWderAC1zu4vvy9VmtjjdFSXKviWEqXJhQNKiBPkG1xOUZAnoH2-4XSgTKRUws=w122-h92-k-no,4.5,378,https://www.google.com.tw/maps/place/Dreamers+Coffee+Roasters+%E5%BE%AE%E9%A2%A8%E5%BE%A9%E8%88%88%E5%BA%97/data=!4m7!3m6!1s0x3442abf1f3ee4ff9:0x16843bcb29fc51f7!8m2!3d25.0455726!4d121.5441026!16s%2Fg%2F11rsb3h32x!19sChIJ-U_u8_GrQjQR91H8Kcs7hBY?authuser=0&hl=zh-TW&rclk=1,10556台北市松山區復興南路一段45號,星期三、07:00 到 20:30; 星期四、07:00 到 20:30; 星期五、07:00 到 20:30; 星期六、07:00 到 20:30; 星期日、07:00 到 20:30; 星期一、07:00 到 20:30; 星期二、07:00 到 20:30. 隱藏本週營業時間,"25.0455726,121.5441026"
BUNA CAF'E 布納咖啡館 信義館,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noZuQocxSR7iuxvMOaeoOlyVjHx-KyPMwrFacbdUIidOPZ1RodvnSB21HlWGQ967nrknCMpXFDqHtNdkrwcd0BUMA-aVpdcu4mhYbDnlLH-JbYdBJjaNu3zTgcr37-HAsa9lMOj=w122-h92-k-no,4.7,"3,127",https://www.google.com.tw/maps/place/BUNA+CAF%27E+%E5%B8%83%E7%B4%8D%E5%92%96%E5%95%A1%E9%A4%A8+%E4%BF%A1%E7%BE%A9%E9%A4%A8/data=!4m7!3m6!1s0x3442ab3d4bdd2639:0xbf7e54d051dda6b6!8m2!3d25.0331987!4d121.5594265!16s%2Fg%2F11q7b9q729!19sChIJOSbdSz2rQjQRtqbdUdBUfr8?authuser=0&hl=zh-TW&rclk=1,110台北市信義區信義路四段415之3號,星期三、09:00 到 00:00; 星期四、09:00 到 00:00; 星期五、09:00 到 00:00; 星期六、08:00 到 00:00; 星期日、08:00 到 00:00; 星期一、09:00 到 00:00; 星期二、09:00 到 00:00. 隱藏本週營業時間,"25.0331987,121.5594265"
Cactus Cafe 不限時插座免服務費咖啡廳｜六日限定早午餐｜花藝,https://lh3.googleusercontent.com/p/AF1QipPXa4xRwyVB-oGPRbsyh5wHt_rhsyJWIparBg2a=w138-h92-k-no,4.8,178,https://www.google.com.tw/maps/place/Cactus+Cafe+%E4%B8%8D%E9%99%90%E6%99%82%E6%8F%92%E5%BA%A7%E5%85%8D%E6%9C%8D%E5%8B%99%E8%B2%BB%E5%92%96%E5%95%A1%E5%BB%B3%EF%BD%9C%E5%85%AD%E6%97%A5%E9%99%90%E5%AE%9A%E6%97%A9%E5%8D%88%E9%A4%90%EF%BD%9C%E8%8A%B1%E8%97%9D/data=!4m7!3m6!1s0x3442ab4b56f2a7fb:0x85981092e3005109!8m2!3d25.0432454!4d121.5466826!16s%2Fg%2F11vlxd7yg1!19sChIJ-6fyVkurQjQRCVEA45IQmIU?authuser=0&hl=zh-TW&rclk=1,106台北市大安區大安路一段51巷9號,星期三、11:00 到 18:00; 星期四、11:00 到 18:00; 星期五、11:00 到 18:00; 星期六、11:00 到 18:00; 星期日、11:00 到 18:00; 星期一、休息; 星期二、休息. 隱藏本週營業時間,"25.0432454,121.5466826"
