f_name,pic_url,rate,comm,url,address,b_time,geo_loc
啾啾咖啡-外木山店,https://lh3.googleusercontent.com/p/AF1QipMY21LBzG3pBDblKB-mSAhqnJ_bzLVHvUCgw0M0=w122-h92-k-no,4.6,"1,604",https://www.google.com.tw/maps/place/%E5%95%BE%E5%95%BE%E5%92%96%E5%95%A1-%E5%A4%96%E6%9C%A8%E5%B1%B1%E5%BA%97/data=!4m7!3m6!1s0x345d4c2c590f9bff:0x66af71b96f4a3e8!8m2!3d25.1641683!4d121.7072393!16s%2Fg%2F11cn3v46q0!19sChIJ_5sPWSxMXTQR6KP0lhv3agY?authuser=0&hl=zh-TW&rclk=1,204基隆市安樂區湖海路二段101號,星期三、12:00 到 01:00; 星期四、12:00 到 01:00; 星期五、12:00 到 01:00; 星期六、12:00 到 01:00; 星期日、12:00 到 01:00; 星期一、12:00 到 01:00; 星期二、12:00 到 01:00. 隱藏本週營業時間,"25.1641683,121.7072393"
橡果,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nplOCn7oNwsv2FlWoCH2_VpFqq8_C7RLvVcuoQwSonF95H4yZRXU15YE0f3fW73QZL9D-W5JniWM6oR7jn1Bz09H6CA1QAXMwHsaW-yphQugHF9p-5VL7vpig549umOBL_Ex4LA=w163-h92-k-no,4.8,628,https://www.google.com.tw/maps/place/%E6%A9%A1%E6%9E%9C/data=!4m7!3m6!1s0x345d4f66d64a4e55:0xbd9b223dae4285d8!8m2!3d25.1302709!4d121.7408156!16s%2Fg%2F11t589lkpj!19sChIJVU5K1mZPXTQR2IVCrj0im70?authuser=0&hl=zh-TW&rclk=1,200基隆市仁愛區孝二路98號,星期三、10:00 到 19:00; 星期四、10:00 到 19:00; 星期五、10:00 到 19:00; 星期六、10:00 到 19:00; 星期日、10:00 到 19:00; 星期一、10:00 到 19:00; 星期二、10:00 到 19:00. 隱藏本週營業時間,"25.1302709,121.7408156"
暖日咖啡Warm Day Cafe《無電話、營業時間IG為主》,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr4kPFGKpYL5yuuPoZcCG3Pa8KGJs2CvSPA_GrwBl30F5iJPafovCVDGfx9R4bnNI44KVn3q6J3lISWN-WBVc8WzptAB25zL751xRvxVk1ylMShcQrgphMc3ZjOzLb2SvJEOraoSw=w122-h92-k-no,4.8,351,https://www.google.com.tw/maps/place/%E6%9A%96%E6%97%A5%E5%92%96%E5%95%A1Warm+Day+Cafe%E3%80%8A%E7%84%A1%E9%9B%BB%E8%A9%B1%E3%80%81%E7%87%9F%E6%A5%AD%E6%99%82%E9%96%93IG%E7%82%BA%E4%B8%BB%E3%80%8B/data=!4m7!3m6!1s0x345d4f8770ceacf3:0x8f9a09e026ac4477!8m2!3d25.1306746!4d121.7406181!16s%2Fg%2F11fd4j2dc9!19sChIJ86zOcIdPXTQRd0SsJuAJmo8?authuser=0&hl=zh-TW&rclk=1,200基隆市仁愛區孝二路107號2 樓,星期三、休息; 星期四、12:30 到 18:30; 星期五、12:30 到 18:30; 星期六、12:30 到 18:30; 星期日、12:30 到 18:30; 星期一、12:30 到 18:30; 星期二、休息. 隱藏本週營業時間,"25.1306746,121.7406181"
café clay 就日,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nre0oCMWcK2ckvfxgdTbDWQoZ3h0pe8TZ5GR4iCLzZ1ksKA-E_vmWO20FCHSpW5vrZWk6nRRzxBZR7tDeDc-jWPx7RYpoMQCV5Ry6zRp18FGTWPTO_jBwufYUzRI96yagSFn0N3cQ=w163-h92-k-no,4.9,143,https://www.google.com.tw/maps/place/caf%C3%A9+clay+%E5%B0%B1%E6%97%A5/data=!4m7!3m6!1s0x345d4f0a659a8489:0xcacd2f91edb53a54!8m2!3d25.1303883!4d121.7403682!16s%2Fg%2F11sty9ytdr!19sChIJiYSaZQpPXTQRVDq17ZEvzco?authuser=0&hl=zh-TW&rclk=1,,,"25.1303883,121.7403682"
萬祝號,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noqU09ox2Cj8C90xctsmXiHb88zJCE08iusqLMbB4FmlwxLT35WuxbS3x-4iUV0oiergo7QH7oKoDkyTkBZMoVDfpCt4ikkkLLKiv1NkxFMD0pWXLJzQiuBVgTD9gvixlEzcKmG=w122-h92-k-no,4.8,709,https://www.google.com.tw/maps/place/%E8%90%AC%E7%A5%9D%E8%99%9F/data=!4m7!3m6!1s0x345d4f3a60e8ed39:0x2cea92012e8aa39!8m2!3d25.149916!4d121.7649974!16s%2Fg%2F11qsnxyj_c!19sChIJOe3oYDpPXTQROaroEiCpzgI?authuser=0&hl=zh-TW&rclk=1,202基隆市中正區中正路560號,星期三、11:00 到 19:00; 星期四、11:00 到 19:00; 星期五、11:00 到 19:00; 星期六、11:00 到 19:00; 星期日、11:00 到 19:00; 星期一、11:00 到 19:00; 星期二、11:00 到 19:00. 隱藏本週營業時間,"25.149916,121.7649974"
NONNONSAID CAFE 儂儂說。早午餐/咖啡/甜點/鬆餅/彌月禮盒,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nom1NW15w1uTrLgsBgcxB4QXdfI_t1Cho1oVorQ3w-t-RXDCSLfHRvSn9NQj-5Be_lQUh9AaQqzVCdq7191aSjsv8Uq-hQg24jYrp_HXVEhVrMaw_2zgmaKFOSIVmOvtMGHq9BL=w122-h92-k-no,4.9,"1,259",https://www.google.com.tw/maps/place/NONNONSAID+CAFE+%E5%84%82%E5%84%82%E8%AA%AA%E3%80%82%E6%97%A9%E5%8D%88%E9%A4%90%2F%E5%92%96%E5%95%A1%2F%E7%94%9C%E9%BB%9E%2F%E9%AC%86%E9%A4%85%2F%E5%BD%8C%E6%9C%88%E7%A6%AE%E7%9B%92/data=!4m7!3m6!1s0x345d4fd618805f3f:0x6b1f11a85a4e0caf!8m2!3d25.1242366!4d121.7429895!16s%2Fg%2F11tjmppyr1!19sChIJP1-AGNZPXTQRrwxOWqgRH2s?authuser=0&hl=zh-TW&rclk=1,200基隆市仁愛區南榮路163號,星期三、休息; 星期四、10:00 到 17:30; 星期五、10:00 到 17:30; 星期六、10:00 到 17:30; 星期日、10:00 到 17:30; 星期一、10:00 到 17:30; 星期二、10:00 到 17:00. 隱藏本週營業時間,"25.1242366,121.7429895"
三奇壹號咖啡館&築甜製菓 (基隆好食城店),https://lh3.googleusercontent.com/gps-cs-s/AC9h4npgn0KZxTzi6cxoFraONE2QFaxHcg1rC34TBsUcmGSrmkeYGfVK1vJe5p1G8NaRA8vgESUv_tzrU8Y1Ff9nINsFxjoItna0xwOX1zl0YUgTa4Lp7HMhnWrKbB6VXvvj83fdTVxy1A=w155-h92-k-no,4.8,323,https://www.google.com.tw/maps/place/%E4%B8%89%E5%A5%87%E5%A3%B9%E8%99%9F%E5%92%96%E5%95%A1%E9%A4%A8%26%E7%AF%89%E7%94%9C%E8%A3%BD%E8%8F%93+%28%E5%9F%BA%E9%9A%86%E5%A5%BD%E9%A3%9F%E5%9F%8E%E5%BA%97%29/data=!4m7!3m6!1s0x345d4ff115ea920f:0xe007740ec77cdd3e!8m2!3d25.1334308!4d121.7445!16s%2Fg%2F11vpprl_7b!19sChIJD5LqFfFPXTQRPt18xw50B-A?authuser=0&hl=zh-TW&rclk=1,202基隆市中正區中正路3號2F-候船室AREA-A基隆好食城2樓,星期三、11:00 到 19:30; 星期四、11:00 到 19:30; 星期五、11:00 到 19:30; 星期六、11:00 到 19:30; 星期日、11:00 到 19:30; 星期一、11:00 到 19:30; 星期二、11:00 到 19:30. 隱藏本週營業時間,"25.1334308,121.7445"
安樓咖啡 (Enzo Cafe),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrJghKGYLqipkhAX7oX-ouM-2NA6dKFeKb9pTH86a-pP0KYSijeg5iXAC7hwIIe-8miEzlslwdUH1IhIatdKNuHXa0M7x6DVf9wyZTThU0U3axv5hzzM7M2YHphTkxyZx1VPYbGlw=w122-h92-k-no,4.5,601,https://www.google.com.tw/maps/place/%E5%AE%89%E6%A8%93%E5%92%96%E5%95%A1+%28Enzo+Cafe%29/data=!4m7!3m6!1s0x345d4f567ba2e281:0x247b150ff20127e9!8m2!3d25.1279886!4d121.7443309!16s%2Fg%2F11gwmk5mwt!19sChIJgeKie1ZPXTQR6ScB8g8VeyQ?authuser=0&hl=zh-TW&rclk=1,200基隆市仁愛區仁三路11-3號,星期三、11:00 到 19:00; 星期四、11:00 到 19:00; 星期五、11:00 到 19:00; 星期六、11:00 到 19:00; 星期日、11:00 到 19:00; 星期一、11:00 到 19:00; 星期二、11:00 到 19:00. 隱藏本週營業時間,"25.1279886,121.7443309"
隱山所,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np6Pq0BGknIzpJaEZgd38IVESjYJU81OIr7EBEoPMDKFX7Vp5f9fDkqDgpgK4kwB84F7WhwUXm3GJaxwC3leeDITqRflmwjBM55KcVS4cXSHHSMJwF9AcujKXGDyeW9K749MHrI=w163-h92-k-no,4.9,278,https://www.google.com.tw/maps/place/%E9%9A%B1%E5%B1%B1%E6%89%80/data=!4m7!3m6!1s0x345d4fb693469d99:0x87b6bfd1d313b49e!8m2!3d25.1231942!4d121.7354036!16s%2Fg%2F11t8g_wqh0!19sChIJmZ1Gk7ZPXTQRnrQT09G_toc?authuser=0&hl=zh-TW&rclk=1,200基隆市仁愛區獅球路48巷116號,星期三、11:30 到 19:30; 星期四、休息; 星期五、11:30 到 19:30; 星期六、09:00 到 17:00; 星期日、11:30 到 19:30; 星期一、11:30 到 19:30; 星期二、11:30 到 19:30. 隱藏本週營業時間,"25.1231942,121.7354036"
渡邊珈琲製造所,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq2XKMBKBK-4L-_eisXNRxok-Cjy9DiMvYQTcbspP2ze3e4FdEy92sDMnetEj3V2z-jh6KwZmJp2kgF1C5AKvqJhm5TN3Y1tnsI2XQdCl7WYY4BCJMydj7rbHnJqAsq8qvcM77t=w80-h106-k-no,4.7,259,https://www.google.com.tw/maps/place/%E6%B8%A1%E9%82%8A%E7%8F%88%E7%90%B2%E8%A3%BD%E9%80%A0%E6%89%80/data=!4m7!3m6!1s0x345d4f8186040601:0xdb107439261bd0e3!8m2!3d25.1296447!4d121.7475679!16s%2Fg%2F11sv0tfdyg!19sChIJAQYEhoFPXTQR49AbJjl0ENs?authuser=0&hl=zh-TW&rclk=1,201014基隆市信義區義三路4巷23號,星期三、09:00 到 20:00; 星期四、09:00 到 20:00; 星期五、09:00 到 20:00; 星期六、09:00 到 20:00; 星期日、09:00 到 18:00; 星期一、休息; 星期二、09:00 到 20:00. 隱藏本週營業時間,"25.1296447,121.7475679"
