f_name,pic_url,rate,comm,url,address,b_time,geo_loc
城市峽谷 Urban Canyon by Brown Study,https://lh3.googleusercontent.com/p/AF1QipNWRGoRmObyAGFcR-Zgl93zHMHCsm_oA0t2YwEz=w122-h92-k-no,4.7,246,https://www.google.com.tw/maps/place/%E5%9F%8E%E5%B8%82%E5%B3%BD%E8%B0%B7+Urban+Canyon+by+Brown+Study/data=!4m7!3m6!1s0x3442a9da5720bda7:0x113f56f23b1422f3!8m2!3d25.0282491!4d121.4743284!16s%2Fg%2F11p0wwdlts!19sChIJp70gV9qpQjQR8yIUO_JWPxE?authuser=0&hl=zh-TW&rclk=1,22043新北市板橋區雙十路二段157號1樓,星期三、18:17 到 01:00; 星期四、18:17 到 01:00; 星期五、18:17 到 01:00; 星期六、14:17 到 01:00; 星期日、14:17 到 01:00; 星期一、休息; 星期二、休息. 隱藏本週營業時間,"25.0282491,121.4743284"
BUNA CAF'E 布納咖啡館 信義館,https://lh3.googleusercontent.com/p/AF1QipNJ8O5KgirVfk3dgIQ05bxL8PP9Ftrp2cQIEGdV=w122-h92-k-no,4.7,"3,127",https://www.google.com.tw/maps/place/BUNA+CAF%27E+%E5%B8%83%E7%B4%8D%E5%92%96%E5%95%A1%E9%A4%A8+%E4%BF%A1%E7%BE%A9%E9%A4%A8/data=!4m7!3m6!1s0x3442ab3d4bdd2639:0xbf7e54d051dda6b6!8m2!3d25.0331987!4d121.5594265!16s%2Fg%2F11q7b9q729!19sChIJOSbdSz2rQjQRtqbdUdBUfr8?authuser=0&hl=zh-TW&rclk=1,110台北市信義區信義路四段415之3號,星期三、09:00 到 00:00; 星期四、09:00 到 00:00; 星期五、09:00 到 00:00; 星期六、08:00 到 00:00; 星期日、08:00 到 00:00; 星期一、09:00 到 00:00; 星期二、09:00 到 00:00. 隱藏本週營業時間,"25.0331987,121.5594265"
旭舊咖啡 Shiujiou’s cafe!,https://lh3.googleusercontent.com/p/AF1QipNqtDXKmz5ufE1fbKvdbpOPDlNpRXjiSzu8lqFe=w122-h92-k-no,4.4,437,https://www.google.com.tw/maps/place/%E6%97%AD%E8%88%8A%E5%92%96%E5%95%A1+Shiujiou%E2%80%99s+cafe!/data=!4m7!3m6!1s0x3442a9646c6ea4b3:0xa5d6f3c200f11858!8m2!3d25.0128361!4d121.4706195!16s%2Fg%2F11k56gj1qy!19sChIJs6RubGSpQjQRWBjxAMLz1qU?authuser=0&hl=zh-TW&rclk=1,220新北市板橋區中山路一段206巷39號,星期三、11:00 到 19:00; 星期四、11:00 到 19:00; 星期五、11:00 到 19:00; 星期六、11:00 到 20:00; 星期日、11:00 到 20:00; 星期一、11:00 到 19:00; 星期二、11:00 到 19:00. 隱藏本週營業時間,"25.0128361,121.4706195"
BUNA CAF'E 布納咖啡館 中和公園館,https://lh3.googleusercontent.com/p/AF1QipPEattPYXyNyblz6VhxnoAVjVhO2x7oWlEWh1Xx=w122-h92-k-no,4.6,"2,524",https://www.google.com.tw/maps/place/BUNA+CAF%27E+%E5%B8%83%E7%B4%8D%E5%92%96%E5%95%A1%E9%A4%A8+%E4%B8%AD%E5%92%8C%E5%85%AC%E5%9C%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a906738ce885:0x76e55af69ad0d1fa!8m2!3d25.0014761!4d121.5126447!16s%2Fg%2F11s3d6yzpq!19sChIJheiMcwapQjQR-tHQmvZa5XY?authuser=0&hl=zh-TW&rclk=1,235新北市中和區中安街85號B1,星期三、09:00 到 22:00; 星期四、09:00 到 22:00; 星期五、09:00 到 22:00; 星期六、09:00 到 22:00; 星期日、09:00 到 22:00; 星期一、09:00 到 22:00; 星期二、09:00 到 22:00. 隱藏本週營業時間,"25.0014761,121.5126447"
dateless,https://lh3.googleusercontent.com/p/AF1QipM_vmLI64kZ3y0Zdtn4FhmkFZeFMwK2EqCunk_3=w122-h92-k-no,4.6,441,https://www.google.com.tw/maps/place/dateless/data=!4m7!3m6!1s0x3442a9aa768d96b3:0x43173317fcb4a700!8m2!3d25.0618236!4d121.5028353!16s%2Fg%2F11hg5pscms!19sChIJs5aNdqqpQjQRAKe0_BczF0M?authuser=0&hl=zh-TW&rclk=1,241新北市三重區福和街1號,星期三、10:00 到 18:00; 星期四、10:00 到 18:00; 星期五、10:00 到 18:00; 星期六、10:00 到 18:00; 星期日、10:00 到 18:00; 星期一、休息; 星期二、10:00 到 18:00. 隱藏本週營業時間,"25.0618236,121.5028353"
D'or Cafe,https://lh3.googleusercontent.com/p/AF1QipNFSz6w0Dv3me5miw8xls__CJSeXlkjMTcSNApR=w122-h92-k-no,4.6,"2,693",https://www.google.com.tw/maps/place/D%27or+Cafe/data=!4m7!3m6!1s0x3442a890427a75f1:0xab44696848631db5!8m2!3d25.063652!4d121.4583793!16s%2Fg%2F11fzhmy177!19sChIJ8XV6QpCoQjQRtR1jSGhpRKs?authuser=0&hl=zh-TW&rclk=1,242新北市新莊區五工路66號1樓,星期三、10:00 到 18:00; 星期四、10:00 到 18:00; 星期五、10:00 到 18:00; 星期六、09:00 到 18:00; 星期日、09:00 到 18:00; 星期一、10:00 到 18:00; 星期二、10:00 到 18:00. 隱藏本週營業時間,"25.063652,121.4583793"
Merci vielle,https://lh3.googleusercontent.com/p/AF1QipNhEVGAJkNzdhi4xAmVS3JCPRuAEFWq0bTC9CXz=w122-h92-k-no,4.6,880,https://www.google.com.tw/maps/place/Merci+vielle/data=!4m7!3m6!1s0x3442a81d5318045f:0x3a4930dd7b47003c!8m2!3d25.0096556!4d121.4571433!16s%2Fg%2F11cn0ph6bz!19sChIJXwQYUx2oQjQRPABHe90wSTo?authuser=0&hl=zh-TW&rclk=1,220新北市板橋區府中路50號2樓,星期三、13:00 到 22:00; 星期四、13:00 到 22:00; 星期五、13:00 到 22:00; 星期六、13:00 到 22:00; 星期日、13:00 到 22:00; 星期一、13:00 到 22:00; 星期二、13:00 到 22:00. 隱藏本週營業時間,"25.0096556,121.4571433"
Café Paradis…and a bar ^_^,https://lh3.googleusercontent.com/p/AF1QipO1N0qk7ST9II1VHU_RhXbLKq9S_oTspVUj9Zwo=w122-h92-k-no,4.8,511,https://www.google.com.tw/maps/place/Caf%C3%A9+Paradis%E2%80%A6and+a+bar+%5E_%5E/data=!4m7!3m6!1s0x3442abc26ae6bd41:0x48233ce08efef6b4!8m2!3d25.0264052!4d121.553245!16s%2Fg%2F11tcj699zn!19sChIJQb3masKrQjQRtPb-juA8I0g?authuser=0&hl=zh-TW&rclk=1,106052台北市大安區通化街209號,星期三、12:00 到 18:30、20:30 到 01:00; 星期四、12:00 到 18:30、20:00 到 01:00; 星期五、12:00 到 18:30、20:00 到 01:00; 星期六、12:00 到 18:30、20:00 到 01:00; 星期日、12:00 到 21:00; 星期一、休息; 星期二、12:00 到 18:30、20:00 到 00:00. 隱藏本週營業時間,"25.0264052,121.553245"
Tower Cafe 鐵塔咖啡（深夜/文青/寵物友善）,https://lh3.googleusercontent.com/p/AF1QipPRcy9975HWJieX-QXb0yUfd0xAIY3RIIluOd4f=w122-h92-k-no,4.7,233,https://www.google.com.tw/maps/place/Tower+Cafe+%E9%90%B5%E5%A1%94%E5%92%96%E5%95%A1%EF%BC%88%E6%B7%B1%E5%A4%9C%2F%E6%96%87%E9%9D%92%2F%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84%EF%BC%89/data=!4m7!3m6!1s0x3442a902bb55fd33:0x90f79a91dad0c6b6!8m2!3d25.0076666!4d121.5229585!16s%2Fg%2F11nndfqbyn!19sChIJM_1VuwKpQjQRtsbQ2pGa95A?authuser=0&hl=zh-TW&rclk=1,234新北市永和區福和路57巷2-1號,星期三、14:00 到 02:00; 星期四、14:00 到 02:00; 星期五、14:00 到 02:00; 星期六、14:00 到 02:00; 星期日、14:00 到 02:00; 星期一、14:00 到 02:00; 星期二、14:00 到 02:00. 隱藏本週營業時間,"25.0076666,121.5229585"
annyoung cafe,https://lh3.googleusercontent.com/p/AF1QipN6fttV-1HCwYNMelu7mySxieMdri7fugn-sirC=w122-h92-k-no,4.4,790,https://www.google.com.tw/maps/place/annyoung+cafe/data=!4m7!3m6!1s0x3442ab4473fc64f9:0x6b7ecf660b585b3!8m2!3d25.04248!4d121.553625!16s%2Fg%2F11j9h95j2c!19sChIJ-WT8c0SrQjQRs4W1YPbstwY?authuser=0&hl=zh-TW&rclk=1,106台北市大安區延吉街70巷5弄2號1樓,星期三、12:00 到 23:00; 星期四、12:00 到 23:00; 星期五、12:00 到 23:00; 星期六、12:00 到 23:00; 星期日、12:00 到 23:00; 星期一、12:00 到 23:00; 星期二、12:00 到 23:00. 隱藏本週營業時間,"25.04248,121.553625"
