f_name,pic_url,rate,comm,url,address,b_time,geo_loc
FOXLOVE COFFEE 咖啡廳,https://lh3.googleusercontent.com/p/AF1QipPyJ8NyEtBxM6LeHwo2Ezwb4XLd9soyXf-M0KbL=w163-h92-k-no,4.9,517,https://www.google.com.tw/maps/place/FOXLOVE+COFFEE+%E5%92%96%E5%95%A1%E5%BB%B3/data=!4m7!3m6!1s0x346835032a49066f:0x98905eb83797da46!8m2!3d24.7975516!4d120.9621578!16s%2Fg%2F11ss7jnzzg!19sChIJbwZJKgM1aDQRRtqXN7hekJg?authuser=0&hl=zh-TW&rclk=1,300新竹市北區林森路281號,星期四、10:00 到 17:30; 星期五、10:00 到 17:30; 星期六、10:00 到 17:30; 星期日、10:00 到 17:30; 星期一、10:00 到 17:30; 星期二、10:00 到 17:30; 星期三、10:00 到 17:30. 隱藏本週營業時間,"24.7975516,120.9621578"
墨咖啡 INK COFFEE,https://lh3.googleusercontent.com/p/AF1QipMPV08VggtprUGisEpwtjWLN9h6TNE3xlAQkDfR=w138-h92-k-no,4.6,"2,524",https://www.google.com.tw/maps/place/%E5%A2%A8%E5%92%96%E5%95%A1+INK+COFFEE/data=!4m7!3m6!1s0x34683594addad9dd:0xc3c5505321b1caf5!8m2!3d24.799274!4d120.9643338!16s%2Fg%2F11b7twzz9c!19sChIJ3dnarZQ1aDQR9cqxIVNQxcM?authuser=0&hl=zh-TW&rclk=1,300新竹市東區林森路180號,星期四、12:00 到 22:00; 星期五、12:00 到 22:00; 星期六、12:00 到 22:00; 星期日、12:00 到 22:00; 星期一、12:00 到 22:00; 星期二、12:00 到 22:00; 星期三、12:00 到 22:00. 隱藏本週營業時間,"24.799274,120.9643338"
那家咖啡館｜手沖冰滴販売,https://lh3.googleusercontent.com/p/AF1QipM04ZHy_OdfgafgjcFJfJUcfR5pQtw5H40jw6BW=w122-h92-k-no,4.8,"2,720",https://www.google.com.tw/maps/place/%E9%82%A3%E5%AE%B6%E5%92%96%E5%95%A1%E9%A4%A8%EF%BD%9C%E6%89%8B%E6%B2%96%E5%86%B0%E6%BB%B4%E8%B2%A9%E5%A3%B2/data=!4m7!3m6!1s0x3468355acbc5f393:0xc49a4436ad3b9531!8m2!3d24.8047629!4d120.9632794!16s%2Fg%2F11gm9fr_z4!19sChIJk_PFy1o1aDQRMZU7rTZEmsQ?authuser=0&hl=zh-TW&rclk=1,300新竹市北區西大路465號,星期四、09:00 到 01:00; 星期五、09:00 到 01:00; 星期六、09:00 到 01:00; 星期日、09:00 到 01:00; 星期一、09:00 到 01:00; 星期二、09:00 到 01:00; 星期三、09:00 到 01:00. 隱藏本週營業時間,"24.8047629,120.9632794"
自然產販豆所 coffee & roaster (無訂位／營業時間依IG為主),https://lh3.googleusercontent.com/p/AF1QipMTX-u09QI_6o6WIndRJ73A--7X1fZTice5Qcu4=w122-h92-k-no,4.7,211,https://www.google.com.tw/maps/place/%E8%87%AA%E7%84%B6%E7%94%A2%E8%B2%A9%E8%B1%86%E6%89%80+coffee+%26+roaster+%28%E7%84%A1%E8%A8%82%E4%BD%8D%EF%BC%8F%E7%87%9F%E6%A5%AD%E6%99%82%E9%96%93%E4%BE%9DIG%E7%82%BA%E4%B8%BB%29/data=!4m7!3m6!1s0x3468372281e586a7:0xd82fd76d2b8809d9!8m2!3d24.8066561!4d120.965282!16s%2Fg%2F11qsvnvk25!19sChIJp4blgSI3aDQR2QmIK23XL9g?authuser=0&hl=zh-TW&rclk=1,300新竹市北區長安街79號,星期四、11:00 到 18:30; 星期五、11:00 到 18:30; 星期六、12:00 到 18:30; 星期日、12:00 到 18:30; 星期一、11:00 到 18:30; 星期二、休息; 星期三、11:00 到 18:30. 隱藏本週營業時間,"24.8066561,120.965282"
暗室微光,https://lh3.googleusercontent.com/p/AF1QipPrXjqAoxi4kAQvP0SLQDmxj6MQEFxxZ2jPFs1X=w122-h92-k-no,4.5,"1,222",https://www.google.com.tw/maps/place/%E6%9A%97%E5%AE%A4%E5%BE%AE%E5%85%89/data=!4m7!3m6!1s0x346835eb1ac9895b:0x1d46203a6690e6fe!8m2!3d24.8002292!4d120.9667726!16s%2Fg%2F11c3yv_0gd!19sChIJW4nJGus1aDQR_uaQZjogRh0?authuser=0&hl=zh-TW&rclk=1,300新竹市東區勝利路97號,星期四、12:00 到 18:00; 星期五、12:00 到 18:00; 星期六、12:00 到 18:00; 星期日、休息; 星期一、休息; 星期二、12:00 到 18:00; 星期三、12:00 到 18:00. 隱藏本週營業時間,"24.8002292,120.9667726"
貳參咖啡西門店（3月開始週一公休）,https://lh3.googleusercontent.com/p/AF1QipMiuLK5dOlkrmO90Gqmn5SDJbBY6BJ6CCQCJd8d=w122-h92-k-no,4.7,"1,197",https://www.google.com.tw/maps/place/%E8%B2%B3%E5%8F%83%E5%92%96%E5%95%A1%E8%A5%BF%E9%96%80%E5%BA%97%EF%BC%883%E6%9C%88%E9%96%8B%E5%A7%8B%E9%80%B1%E4%B8%80%E5%85%AC%E4%BC%91%EF%BC%89/data=!4m7!3m6!1s0x34683594e5995683:0xbfa69249c8f926c6!8m2!3d24.8010455!4d120.9626898!16s%2Fg%2F1pzrzn1jj!19sChIJg1aZ5ZQ1aDQRxib5yEmSpr8?authuser=0&hl=zh-TW&rclk=1,300新竹市北區西門街152號,星期四、10:00 到 18:00; 星期五、10:00 到 18:00; 星期六、10:00 到 18:00; 星期日、10:00 到 18:00; 星期一、休息; 星期二、10:00 到 18:00; 星期三、10:00 到 18:00. 隱藏本週營業時間,"24.8010455,120.9626898"
最初(無提供訂位。無提供鹹食）,https://lh3.googleusercontent.com/p/AF1QipPp6vv8h09bgzOad4AQZGkMYY7-0BzY1SCLZscy=w122-h92-k-no,4.7,395,https://www.google.com.tw/maps/place/%E6%9C%80%E5%88%9D%28%E7%84%A1%E6%8F%90%E4%BE%9B%E8%A8%82%E4%BD%8D%E3%80%82%E7%84%A1%E6%8F%90%E4%BE%9B%E9%B9%B9%E9%A3%9F%EF%BC%89/data=!4m7!3m6!1s0x346840c5f4aeb901:0xacf5f0d9db596d13!8m2!3d24.8135106!4d120.9726909!16s%2Fg%2F11hc_qz92n!19sChIJAbmu9MVAaDQRE21Z29nw9aw?authuser=0&hl=zh-TW&rclk=1,300新竹市東區光華街9號,星期四、12:00 到 19:00; 星期五、12:00 到 19:00; 星期六、12:00 到 19:00; 星期日、12:00 到 19:00; 星期一、12:00 到 19:00; 星期二、12:00 到 19:00; 星期三、休息. 隱藏本週營業時間,"24.8135106,120.9726909"
H・Cafe（營業時間以粉專為主，最後點餐時間18:00。沒有訂位服務）,https://lh3.googleusercontent.com/p/AF1QipN4CrSid8IdMXUwgc4-rTldu7jTSbHMmSZJb9nW=w122-h92-k-no,4.6,581,https://www.google.com.tw/maps/place/H%E3%83%BBCafe%EF%BC%88%E7%87%9F%E6%A5%AD%E6%99%82%E9%96%93%E4%BB%A5%E7%B2%89%E5%B0%88%E7%82%BA%E4%B8%BB%EF%BC%8C%E6%9C%80%E5%BE%8C%E9%BB%9E%E9%A4%90%E6%99%82%E9%96%9318:00%E3%80%82%E6%B2%92%E6%9C%89%E8%A8%82%E4%BD%8D%E6%9C%8D%E5%8B%99%EF%BC%89/data=!4m7!3m6!1s0x346835c3692eb5bb:0x480574436599c1c8!8m2!3d24.8062859!4d120.974264!16s%2Fg%2F11g8wd0jm9!19sChIJu7UuacM1aDQRyMGZZUN0BUg?authuser=0&hl=zh-TW&rclk=1,300新竹市東區民族路43號,星期四、10:00 到 19:00; 星期五、10:00 到 19:00; 星期六、09:30 到 19:00; 星期日、09:30 到 19:00; 星期一、10:00 到 19:00; 星期二、10:00 到 19:00; 星期三、10:00 到 19:00. 隱藏本週營業時間,"24.8062859,120.974264"
Jiumu Coffee Roasters & Cocktail Bar九慕咖啡調酒吧 （酒吧不定期公休請詳見IG :jiumucocktailbar),https://lh3.googleusercontent.com/p/AF1QipNAJ7fbhFk1y1k8JCtjLP1XEvSJfr1evenqfdp6=w122-h92-k-no,4.5,892,https://www.google.com.tw/maps/place/Jiumu+Coffee+Roasters+%26+Cocktail+Bar%E4%B9%9D%E6%85%95%E5%92%96%E5%95%A1%E8%AA%BF%E9%85%92%E5%90%A7+%EF%BC%88%E9%85%92%E5%90%A7%E4%B8%8D%E5%AE%9A%E6%9C%9F%E5%85%AC%E4%BC%91%E8%AB%8B%E8%A9%B3%E8%A6%8BIG+:jiumucocktailbar%29/data=!4m7!3m6!1s0x346835c18285d5ef:0xa81f78014251a6b1!8m2!3d24.8049455!4d120.9701265!16s%2Fg%2F11b700wqq1!19sChIJ79WFgsE1aDQRsaZRQgF4H6g?authuser=0&hl=zh-TW&rclk=1,300新竹市東區中正路60號,星期四、07:30 到 18:00、20:00 到 01:00; 星期五、07:30 到 18:00、20:00 到 01:00; 星期六、10:00 到 18:15、20:00 到 01:00; 星期日、10:00 到 18:15、20:00 到 01:00; 星期一、07:30 到 18:00、20:00 到 01:00; 星期二、07:30 到 18:00、20:00 到 01:00; 星期三、07:30 到 18:00、20:00 到 01:00. 隱藏本週營業時間,"24.8049455,120.9701265"
Float Dept.微生咖啡「沒有訂位服務」,https://lh3.googleusercontent.com/p/AF1QipPcadBL5dG7W15FS6A5lRP0daOdskhGVtF8WJxb=w122-h92-k-no,4.4,"1,260",https://www.google.com.tw/maps/place/Float+Dept.%E5%BE%AE%E7%94%9F%E5%92%96%E5%95%A1%E3%80%8C%E6%B2%92%E6%9C%89%E8%A8%82%E4%BD%8D%E6%9C%8D%E5%8B%99%E3%80%8D/data=!4m7!3m6!1s0x346835d10b40b093:0x2a7beb57a247a870!8m2!3d24.8073311!4d120.974516!16s%2Fg%2F11j438_9vs!19sChIJk7BAC9E1aDQRcKhHolfreyo?authuser=0&hl=zh-TW&rclk=1,300新竹市東區民權路111巷23號,星期四、10:00 到 18:00; 星期五、10:00 到 18:00; 星期六、10:00 到 18:00; 星期日、10:00 到 18:00; 星期一、10:00 到 18:00; 星期二、10:00 到 18:00; 星期三、10:00 到 18:00. 隱藏本週營業時間,"24.8073311,120.974516"
