f_name,pic_url,rate,comm,url,address,b_time,geo_loc
日見森嵐,https://lh3.googleusercontent.com/p/AF1QipMrPce9uYdn1Ei3GR-fPLi2vj4JenZtNbTd1WdJ=w122-h92-k-no,4.7,"7,313",https://www.google.com.tw/maps/place/%E6%97%A5%E8%A6%8B%E6%A3%AE%E5%B5%90/data=!4m7!3m6!1s0x346841636c7d0b43:0x6e2e3bf2dff10966!8m2!3d24.7299384!4d121.222711!16s%2Fg%2F11spzlxl1n!19sChIJQwt9bGNBaDQRZgnx3_I7Lm4?authuser=0&hl=zh-TW&rclk=1,31342新竹縣尖石鄉嘉樂村7鄰 45號,星期四、11:00 到 19:30; 星期五、11:00 到 19:30; 星期六、11:00 到 19:30; 星期日、11:00 到 19:30; 星期一、11:00 到 19:30; 星期二、11:00 到 19:30; 星期三、11:00 到 19:30. 隱藏本週營業時間,"24.7299384,121.222711"
日遲DIDcoffee(內用請輕聲。假日開放線上訂位）,https://lh3.googleusercontent.com/p/AF1QipOm-SYebkIvnlc6_JQO_diculo5q3-5160OhuME=w80-h106-k-no,4.3,816,https://www.google.com.tw/maps/place/%E6%97%A5%E9%81%B2DIDcoffee%28%E5%85%A7%E7%94%A8%E8%AB%8B%E8%BC%95%E8%81%B2%E3%80%82%E5%81%87%E6%97%A5%E9%96%8B%E6%94%BE%E7%B7%9A%E4%B8%8A%E8%A8%82%E4%BD%8D%EF%BC%89/data=!4m7!3m6!1s0x346837d960e8c7d7:0x6c818d5ccb9dbce9!8m2!3d24.812614!4d121.0308089!16s%2Fg%2F11r9h287qy!19sChIJ18foYNk3aDQR6bydy1yNgWw?authuser=0&hl=zh-TW&rclk=1,302新竹縣竹北市嘉豐六路一段62號,星期四、10:00 到 18:00; 星期五、10:00 到 18:00; 星期六、10:00 到 18:00; 星期日、10:00 到 18:00; 星期一、10:00 到 18:00; 星期二、10:00 到 18:00; 星期三、10:00 到 18:00. 隱藏本週營業時間,"24.812614,121.0308089"
some in café (商隱咖啡）,https://lh3.googleusercontent.com/p/AF1QipPIVZihzKLA2faQTSXc6Y3AL5eZA86TQfrAc6Dh=w80-h106-k-no,5.0,93,https://www.google.com.tw/maps/place/some+in+caf%C3%A9+%28%E5%95%86%E9%9A%B1%E5%92%96%E5%95%A1%EF%BC%89/data=!4m7!3m6!1s0x3468376652db93e9:0x14f8400a4481488f!8m2!3d24.8310553!4d121.0232177!16s%2Fg%2F11tgfldc0x!19sChIJ6ZPbUmY3aDQRj0iBRApA-BQ?authuser=0&hl=zh-TW&rclk=1,302新竹縣竹北市十興路305巷13弄81號,星期四、10:00 到 18:00; 星期五、10:00 到 18:00; 星期六、10:00 到 18:00; 星期日、10:00 到 18:00; 星期一、10:00 到 18:00; 星期二、10:00 到 18:00; 星期三、10:00 到 18:00. 隱藏本週營業時間,"24.8310553,121.0232177"
Z cafe,https://lh3.googleusercontent.com/p/AF1QipNOc8BOkIaNxAqUx7Efx7Lcgr04gRuHYHWjanPq=w122-h92-k-no,4.2,811,https://www.google.com.tw/maps/place/Z+cafe/data=!4m7!3m6!1s0x34684035b4e2d49b:0xf5c2b77c11cfca1!8m2!3d24.679912!4d121.242889!16s%2Fg%2F11b7tw0xlm!19sChIJm9TitDVAaDQRofwcwXcrXA8?authuser=0&hl=zh-TW&rclk=1,313新竹縣尖石鄉錦屏村8鄰那羅42-1號,星期四、11:00 到 18:00; 星期五、11:00 到 18:00; 星期六、11:00 到 18:00; 星期日、11:00 到 18:00; 星期一、11:00 到 18:00; 星期二、休息; 星期三、休息. 隱藏本週營業時間,"24.679912,121.242889"
厚食聚落 以及其他共15棟獨立建物不同營運內容，和戶外寬闊空間。,https://lh3.googleusercontent.com/p/AF1QipPXoU0A7goyfwsC6QtJ4c02ZNeitf710lWDoAf3=w80-h106-k-no,4.0,"1,201",https://www.google.com.tw/maps/place/%E5%8E%9A%E9%A3%9F%E8%81%9A%E8%90%BD+%E4%BB%A5%E5%8F%8A%E5%85%B6%E4%BB%96%E5%85%B115%E6%A3%9F%E7%8D%A8%E7%AB%8B%E5%BB%BA%E7%89%A9%E4%B8%8D%E5%90%8C%E7%87%9F%E9%81%8B%E5%85%A7%E5%AE%B9%EF%BC%8C%E5%92%8C%E6%88%B6%E5%A4%96%E5%AF%AC%E9%97%8A%E7%A9%BA%E9%96%93%E3%80%82/data=!4m7!3m6!1s0x346836fdbab94b71:0x8fc8c5bab863842a!8m2!3d24.794641!4d121.0027557!16s%2Fg%2F11c1q9fzgw!19sChIJcUu5uv02aDQRKoRjuLrFyI8?authuser=0&hl=zh-TW&rclk=1,,,"24.794641,121.0027557"
Triangle coffee Roasters 三角咖啡館,https://lh3.googleusercontent.com/p/AF1QipNoe2HShavluJf0UQahMvfszaBtWgbaZ1ZFyUAp=w121-h92-k-no,4.3,586,https://www.google.com.tw/maps/place/Triangle+coffee+Roasters+%E4%B8%89%E8%A7%92%E5%92%96%E5%95%A1%E9%A4%A8/data=!4m7!3m6!1s0x346836e6e91baf5b:0x7d11d731c29e8a5f!8m2!3d24.8294946!4d121.0264991!16s%2Fg%2F11f_kn3djf!19sChIJW68b6eY2aDQRX4qewjHXEX0?authuser=0&hl=zh-TW&rclk=1,302新竹縣竹北市莊敬北路286號,星期四、11:30 到 18:00; 星期五、10:30 到 18:00; 星期六、10:30 到 18:00; 星期日、10:30 到 18:00; 星期一、休息; 星期二、11:30 到 18:00; 星期三、10:30 到 18:00. 隱藏本週營業時間,"24.8294946,121.0264991"
Basement cafe hsinchu,https://lh3.googleusercontent.com/p/AF1QipNesuep4DEqDt__Vn9FXUK8vrLiIaJniBAvUg58=w122-h92-k-no,4.4,305,https://www.google.com.tw/maps/place/Basement+cafe+hsinchu/data=!4m7!3m6!1s0x34683519657a8527:0xb7b169ebdf840aeb!8m2!3d24.8272288!4d120.9665539!16s%2Fg%2F11n08w90_w!19sChIJJ4V6ZRk1aDQR6wqE3-tpsbc?authuser=0&hl=zh-TW&rclk=1,300新竹市北區公道五路四段513號,星期四、10:00 到 18:00; 星期五、10:00 到 18:00; 星期六、10:00 到 18:00; 星期日、10:00 到 18:00; 星期一、休息; 星期二、休息; 星期三、10:00 到 18:00. 隱藏本週營業時間,"24.8272288,120.9665539"
樹瓅咖啡 St. Tree Cafe,https://lh3.googleusercontent.com/p/AF1QipNIQ-ZewSJydRjxsFfs-RCRV4ttPARBhWX9Jzio=w122-h92-k-no,4.8,248,https://www.google.com.tw/maps/place/%E6%A8%B9%E7%93%85%E5%92%96%E5%95%A1+St.+Tree+Cafe/data=!4m7!3m6!1s0x346837a6791ce43d:0xc18b065c03f75119!8m2!3d24.8017532!4d121.0353927!16s%2Fg%2F11k3lzxq51!19sChIJPeQceaY3aDQRGVH3A1wGi8E?authuser=0&hl=zh-TW&rclk=1,302新竹縣竹北市隘口三街22號,星期四、10:00 到 18:00; 星期五、10:00 到 18:00; 星期六、09:00 到 18:00; 星期日、09:00 到 18:00; 星期一、10:00 到 18:00; 星期二、10:00 到 18:00; 星期三、10:00 到 18:00. 隱藏本週營業時間,"24.8017532,121.0353927"
喜木咖啡,https://lh3.googleusercontent.com/p/AF1QipOt5SXvnKPqL5UpKnvMjw7k58K6tn8kuaBMqg-f=w122-h92-k-no,4.0,946,https://www.google.com.tw/maps/place/%E5%96%9C%E6%9C%A8%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3468340bbe6aa3e1:0xf1d2ed5b32033538!8m2!3d24.8610878!4d120.9737366!16s%2Fg%2F1td4xllv!19sChIJ4aNqvgs0aDQRODUDMlvt0vE?authuser=0&hl=zh-TW&rclk=1,302新竹縣竹北市鳳岡路二段422號,星期四、11:30 到 18:00; 星期五、11:30 到 18:00; 星期六、11:30 到 18:00; 星期日、11:30 到 18:00; 星期一、休息; 星期二、休息; 星期三、休息. 隱藏本週營業時間,"24.8610878,120.9737366"
Jin Coffee,https://lh3.googleusercontent.com/p/AF1QipMhfkYAx7LhBwq4eBgqkLjn8Hh0aWCcab50kKaL=w122-h92-k-no,4.9,289,https://www.google.com.tw/maps/place/Jin+Coffee/data=!4m7!3m6!1s0x346836e9d727a02b:0x82bd99b50ea18dc2!8m2!3d24.8338798!4d121.0185856!16s%2Fg%2F11c5hjmvzj!19sChIJK6An1-k2aDQRwo2hDrWZvYI?authuser=0&hl=zh-TW&rclk=1,302新竹縣竹北市文采街133號,星期四、10:00 到 18:00; 星期五、10:00 到 18:00; 星期六、10:00 到 18:00; 星期日、10:00 到 18:00; 星期一、休息; 星期二、休息; 星期三、10:00 到 18:00. 隱藏本週營業時間,"24.8338798,121.0185856"
提燈咖啡Lightupcafe | 早午餐咖啡廳,https://lh3.googleusercontent.com/p/AF1QipMzzBwGrStNQ7ZGsG9Kw2_OKVPSgLmEkebscgY2=w80-h106-k-no,4.7,153,https://www.google.com.tw/maps/place/%E6%8F%90%E7%87%88%E5%92%96%E5%95%A1Lightupcafe+%7C+%E6%97%A9%E5%8D%88%E9%A4%90%E5%92%96%E5%95%A1%E5%BB%B3/data=!4m7!3m6!1s0x34683749d9a07265:0x86089fdd4fd19d54!8m2!3d24.8134258!4d121.0329786!16s%2Fg%2F11jz1d29rw!19sChIJZXKg2Uk3aDQRVJ3RT92fCIY?authuser=0&hl=zh-TW&rclk=1,30264新竹縣竹北市復興一街169號,星期四、09:00 到 17:00; 星期五、09:00 到 17:00; 星期六、09:00 到 17:00; 星期日、09:00 到 17:00; 星期一、休息; 星期二、09:00 到 17:00; 星期三、09:00 到 17:00. 隱藏本週營業時間,"24.8134258,121.0329786"
有田咖啡 Youtian Cafe,https://lh3.googleusercontent.com/p/AF1QipMi864BgTYMMmcZPe2wU1rmXhPDIPiHVa9Flegm=w122-h92-k-no,4.6,"1,068",https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%92%96%E5%95%A1+Youtian+Cafe/data=!4m7!3m6!1s0x346837ef7bc0b96d:0x9555adfa8882c5e3!8m2!3d24.803023!4d121.0486342!16s%2Fg%2F11jlr3p1y8!19sChIJbbnAe-83aDQR48WCiPqtVZU?authuser=0&hl=zh-TW&rclk=1,302新竹縣竹北市東興路二段2巷82號,星期四、11:00 到 19:00; 星期五、11:00 到 19:00; 星期六、11:00 到 19:00; 星期日、11:00 到 19:00; 星期一、11:00 到 19:00; 星期二、11:00 到 19:00; 星期三、11:00 到 19:00. 隱藏本週營業時間,"24.803023,121.0486342"
上山喝咖啡,https://lh3.googleusercontent.com/p/AF1QipNhagYTFh-OjS4JjgM2R9ki-PeZr3yH5M4zJSEV=w122-h92-k-no,4.2,818,https://www.google.com.tw/maps/place/%E4%B8%8A%E5%B1%B1%E5%96%9D%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3468479202c86355:0x76cf7dd18cb8e1ff!8m2!3d24.6827424!4d121.1375315!16s%2Fg%2F11r98bw29f!19sChIJVWPIApJHaDQR_-G4jNF9z3Y?authuser=0&hl=zh-TW&rclk=1,312新竹縣橫山鄉1-20號,星期四、09:00 到 17:00; 星期五、09:00 到 17:00; 星期六、08:00 到 17:00; 星期日、08:00 到 17:00; 星期一、09:00 到 17:00; 星期二、休息; 星期三、休息. 隱藏本週營業時間,"24.6827424,121.1375315"
J6覓境咖啡,https://lh3.googleusercontent.com/p/AF1QipOO6OHuSbfBbIs1Gnu2LN_jICFIlD_TyASA-R1w=w122-h92-k-no,4.5,405,https://www.google.com.tw/maps/place/J6%E8%A6%93%E5%A2%83%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x346837d2b4857e35:0x2edfd2b2e452b635!8m2!3d24.8097155!4d121.0562001!16s%2Fg%2F11s5dlf7ll!19sChIJNX6FtNI3aDQRNbZS5LLS3y4?authuser=0&hl=zh-TW&rclk=1,307新竹縣芎林鄉七鄰81號,星期四、10:00 到 18:00; 星期五、10:00 到 18:00; 星期六、09:00 到 18:00; 星期日、09:00 到 18:00; 星期一、休息; 星期二、10:00 到 18:00; 星期三、10:00 到 18:00. 隱藏本週營業時間,"24.8097155,121.0562001"
二街咖啡 2nd st. cafe ｜整模蛋糕｜下午茶餐盒,https://lh3.googleusercontent.com/p/AF1QipO3ZQZrOp31Me80QIuLWY-fGUHWu1KELolQeqTE=w122-h92-k-no,4.4,"1,342",https://www.google.com.tw/maps/place/%E4%BA%8C%E8%A1%97%E5%92%96%E5%95%A1+2nd+st.+cafe+%EF%BD%9C%E6%95%B4%E6%A8%A1%E8%9B%8B%E7%B3%95%EF%BD%9C%E4%B8%8B%E5%8D%88%E8%8C%B6%E9%A4%90%E7%9B%92/data=!4m7!3m6!1s0x346836541d38b073:0x6bd930d2224984ae!8m2!3d24.8062099!4d121.0278713!16s%2Fg%2F11cky44mq6!19sChIJc7A4HVQ2aDQRroRJItIw2Ws?authuser=0&hl=zh-TW&rclk=1,302新竹縣竹北市嘉政二街118號,星期四、10:30 到 18:30; 星期五、10:30 到 18:30; 星期六、10:30 到 18:30; 星期日、10:30 到 18:30; 星期一、10:30 到 18:30; 星期二、10:30 到 18:30; 星期三、10:30 到 18:30. 隱藏本週營業時間,"24.8062099,121.0278713"
