f_name,pic_url,rate,comm,url,address,b_time,geo_loc
植感咖啡 BotanicalCafe,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr3PIpD-LYAlva555z-S6DPp8-fI_YNZCDu0OlPMYi57sJtzchAB6VjrgMj8U8wbASLVOxVeAE3BU4HGGy45U06A7TfHkxakfpU5xOBkMHfNL2lb1VaFmjFj_w3661Ox3umqe-L=w122-h92-k-no,4.6,651,https://www.google.com.tw/maps/place/%E6%A4%8D%E6%84%9F%E5%92%96%E5%95%A1+BotanicalCafe/data=!4m7!3m6!1s0x3469ac0e7e4244c7:0x2272c4f6cefaa3ae!8m2!3d24.5674563!4d120.8209705!16s%2Fg%2F11f4_5jmtv!19sChIJx0RCfg6saTQRrqP6zvbEciI?authuser=0&hl=zh-TW&rclk=1,360苗栗縣苗栗市英才路55號1F,星期四、12:00 到 19:00; 星期五、12:00 到 19:00; 星期六、12:00 到 19:00; 星期日、12:00 到 19:00; 星期一、12:00 到 19:00; 星期二、休息; 星期三、12:00 到 19:00. 隱藏本週營業時間,"24.5674563,120.8209705"
重成商號（營業時間依FB為主）,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqOAwfhj21rZVdHYKolUp-m_aCs-x0_peT66Dubh-ZbEJShpb1J6qUUc_V6CzfqiZ1TJDJgHoBJaUU2PmxjG3j-sIC6YaO6jHKvEf6Gr2gx8KtbcBJVLI0_0DQh9OK9wxxw4UhK=w204-h92-k-no,4.5,777,https://www.google.com.tw/maps/place/%E9%87%8D%E6%88%90%E5%95%86%E8%99%9F%EF%BC%88%E7%87%9F%E6%A5%AD%E6%99%82%E9%96%93%E4%BE%9DFB%E7%82%BA%E4%B8%BB%EF%BC%89/data=!4m7!3m6!1s0x3469b3e0ff953dc7:0x264ebe6461b732a1!8m2!3d24.6627966!4d120.8225385!16s%2Fg%2F11ns7q3nkz!19sChIJxz2V_-CzaTQRoTK3YWS-TiY?authuser=0&hl=zh-TW&rclk=1,356苗栗縣56-1號海寶里,星期四、13:00 到 18:00; 星期五、13:00 到 18:00; 星期六、13:00 到 18:00; 星期日、13:00 到 18:00; 星期一、13:00 到 18:00; 星期二、休息; 星期三、休息. 隱藏本週營業時間,"24.6627966,120.8225385"
墨湘咖啡｜MO COFFEE｜苗栗咖啡烘焙店｜咖啡禮盒專賣店 (提供專屬停車場～來電預約),https://lh3.googleusercontent.com/gps-cs-s/AC9h4npXlPysQGQVDaR7mdq-c01Iqx6pSrEvKEtlUHGB1zh4VjlhqqmcHJ68N9n02NLY6ls0AD1deWj0IRHrce3ma6iYSbPUmqvVsQQF_mBmMW68gh1DfCcAMwksJhZs9KgyFSEYUgZf=w122-h92-k-no,5.0,348,https://www.google.com.tw/maps/place/%E5%A2%A8%E6%B9%98%E5%92%96%E5%95%A1%EF%BD%9CMO+COFFEE%EF%BD%9C%E8%8B%97%E6%A0%97%E5%92%96%E5%95%A1%E7%83%98%E7%84%99%E5%BA%97%EF%BD%9C%E5%92%96%E5%95%A1%E7%A6%AE%E7%9B%92%E5%B0%88%E8%B3%A3%E5%BA%97+%28%E6%8F%90%E4%BE%9B%E5%B0%88%E5%B1%AC%E5%81%9C%E8%BB%8A%E5%A0%B4%EF%BD%9E%E4%BE%86%E9%9B%BB%E9%A0%90%E7%B4%84%29/data=!4m7!3m6!1s0x3469ad09b9cbe903:0x7dfee6744dc218d9!8m2!3d24.5647133!4d120.8194346!16s%2Fg%2F11r9jk5cjl!19sChIJA-nLuQmtaTQR2RjCTXTm_n0?authuser=0&hl=zh-TW&rclk=1,360苗栗縣苗栗市縣府路102號進來青年創業指揮部大樓『左側』1f,星期四、12:00 到 18:30; 星期五、12:00 到 18:30; 星期六、12:00 到 18:30; 星期日、休息; 星期一、休息; 星期二、休息; 星期三、休息. 隱藏本週營業時間,"24.5647133,120.8194346"
沛克咖啡店 Pergram Coffee Roasters,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npCw-AWgSgy8R4Wwg72w_KtLsdYxAM14RgsYAOl0o4MG9cj0Y-I95nt9P-vk7W840yE_4OB5DpGQZ57xodyaLLgfi5gvVLXWbtkuAmYNJWSlw-SIslYE1Duy0N-R90nblS2-CPO=w122-h92-k-no,4.6,697,https://www.google.com.tw/maps/place/%E6%B2%9B%E5%85%8B%E5%92%96%E5%95%A1%E5%BA%97+Pergram+Coffee+Roasters/data=!4m7!3m6!1s0x3469ad46ff40ea11:0xe7dec638614d17f7!8m2!3d24.56736!4d120.823265!16s%2Fg%2F11h6m8hb9x!19sChIJEepA_0ataTQR9xdNYTjG3uc?authuser=0&hl=zh-TW&rclk=1,36043苗栗縣苗栗市中山路108號1樓,星期四、11:00 到 18:30; 星期五、11:00 到 18:30; 星期六、11:00 到 18:30; 星期日、11:00 到 18:30; 星期一、11:00 到 18:30; 星期二、11:00 到 18:30; 星期三、11:00 到 18:30. 隱藏本週營業時間,"24.56736,120.823265"
MODA & the MOON Cafe 碩玥咖啡廳,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrlH-nJeD-Moy35FDzf7BfVD_CRhYSXzNUfZvHSMQpHK7878kQi6iHIEOneeG4HERb2zNjRLz8Edfh-MtFcWIY1sllFh5hHEtGQbGLyev5MnLjydLLBe9qEqQK_UzKVuSMF2umGsg=w80-h106-k-no,4.9,"1,008",https://www.google.com.tw/maps/place/MODA+%26+the+MOON+Cafe+%E7%A2%A9%E7%8E%A5%E5%92%96%E5%95%A1%E5%BB%B3/data=!4m7!3m6!1s0x3469abd48e9da0a1:0xfbff7cea7da614a7!8m2!3d24.5182048!4d120.8442526!16s%2Fg%2F11y4qvc7y7!19sChIJoaCdjtSraTQRpxSmfep8__s?authuser=0&hl=zh-TW&rclk=1,363苗栗縣公館鄉122之10號,星期四、休息; 星期五、09:00 到 17:00; 星期六、09:00 到 17:00; 星期日、09:00 到 17:00; 星期一、09:00 到 17:00; 星期二、09:00 到 17:00; 星期三、09:00 到 17:00. 隱藏本週營業時間,"24.5182048,120.8442526"
庫魯咖啡烘焙 Koorull Coffee Roastery,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nobLtgJoPI0y0wpcPAc8zgdTPYKRqwOniIt1cU3qavm83_r2dZ1vLv6qCA9ol3G5gj4cJM6xZlyIwfJIh90WfCfPA1PmFnQVzUjwhx4W5hRXvp4n3BbJwI4WXTWCDfBm0k02wua=w80-h142-k-no,4.9,89,https://www.google.com.tw/maps/place/%E5%BA%AB%E9%AD%AF%E5%92%96%E5%95%A1%E7%83%98%E7%84%99+Koorull+Coffee+Roastery/data=!4m7!3m6!1s0x3469ab7150103207:0x1bcb43fded0c05bb!8m2!3d24.5528228!4d120.8171358!16s%2Fg%2F11rj6xrprm!19sChIJBzIQUHGraTQRuwUM7f1Dyxs?authuser=0&hl=zh-TW&rclk=1,360苗栗縣苗栗市中正路832號,星期四、11:00 到 18:00; 星期五、11:00 到 18:00; 星期六、11:00 到 18:00; 星期日、11:00 到 18:00; 星期一、11:00 到 18:00; 星期二、11:00 到 18:00; 星期三、休息. 隱藏本週營業時間,"24.5528228,120.8171358"
屋咖人（假日預約制，無接待團體超過4位）,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no-IiGB-m6IKhyEHh1VgRpb4jehdzV50aoXl_1Jk_BQmnVU_VD4C4SOyC_XoDNlWwvQKiA6kCR3JcUJJinFl1bYFbz9upcZxhibuWwAvr3FvXA-uMyUaf5C7ZM247UoJXWgJtA=w122-h92-k-no,4.7,473,https://www.google.com.tw/maps/place/%E5%B1%8B%E5%92%96%E4%BA%BA%EF%BC%88%E5%81%87%E6%97%A5%E9%A0%90%E7%B4%84%E5%88%B6%EF%BC%8C%E7%84%A1%E6%8E%A5%E5%BE%85%E5%9C%98%E9%AB%94%E8%B6%85%E9%81%8E4%E4%BD%8D%EF%BC%89/data=!4m7!3m6!1s0x3469b3db0021f619:0x52147a2151aa29e5!8m2!3d24.6636041!4d120.8788488!16s%2Fg%2F11h58dshwt!19sChIJGfYhANuzaTQR5SmqUSF6FFI?authuser=0&hl=zh-TW&rclk=1,351苗栗縣頭份市中華路53巷10號,星期四、12:00 到 18:00; 星期五、12:00 到 18:00; 星期六、10:30 到 18:00; 星期日、10:30 到 18:00; 星期一、休息; 星期二、休息; 星期三、休息. 隱藏本週營業時間,"24.6636041,120.8788488"
"醲咖啡 酒吧 Known Cafe & Bar 營業時間看IG,FB",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no0MZuFgz33q0Y2nBOW5OKIevzxH05LgL5SDwg3XQoYTnHNVf35osJYBiYaQ7RHfrjps9z_HANxt8DYBRD7L4ru2UB_TlbiK2dyk0VKvaIWUvROlX4OXdSvGtL4QnHAgmksutrZ=w137-h92-k-no,4.9,"1,395","https://www.google.com.tw/maps/place/%E9%86%B2%E5%92%96%E5%95%A1+%E9%85%92%E5%90%A7+Known+Cafe+%26+Bar+%E7%87%9F%E6%A5%AD%E6%99%82%E9%96%93%E7%9C%8BIG,FB/data=!4m7!3m6!1s0x34684cc66ab0c93d:0xedc2028f8f667097!8m2!3d24.6847222!4d120.9086111!16s%2Fg%2F11c3mq86wr!19sChIJPcmwasZMaDQRl3Bmj48Cwu0?authuser=0&hl=zh-TW&rclk=1",351苗栗縣頭份市信義路43號,星期四、11:00 到 19:30; 星期五、11:00 到 23:30; 星期六、11:00 到 23:30; 星期日、11:00 到 23:30; 星期一、11:00 到 19:30; 星期二、休息; 星期三、休息. 隱藏本週營業時間,"24.6847222,120.9086111"
Doo Coffee寵物友善景觀咖啡廳,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqvmxODNzx7Se_1IW2Thk5AU9_9gQmM6-ZqQIBPuP5MvlYTIMI_w0Z9EhJpr9tSl1Gmfiq5WTANejTSy8WpkQHZP36M1pzVYbtYvPplMWenIZ-CXhA4yGGO4RUUcb0XXxZCbJNh=w122-h92-k-no,4.7,"2,475",https://www.google.com.tw/maps/place/Doo+Coffee%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84%E6%99%AF%E8%A7%80%E5%92%96%E5%95%A1%E5%BB%B3/data=!4m7!3m6!1s0x346853425f415cbf:0x1fb5009e1dd56a1a!8m2!3d24.534221!4d120.8480194!16s%2Fg%2F11f3tr20zt!19sChIJv1xBX0JTaDQRGmrVHZ4AtR8?authuser=0&hl=zh-TW&rclk=1,363苗栗縣公館鄉北河21號,星期四、10:30 到 18:30; 星期五、10:30 到 18:30; 星期六、10:30 到 19:00; 星期日、10:30 到 19:00; 星期一、10:30 到 18:30; 星期二、10:30 到 18:30; 星期三、10:30 到 18:30. 隱藏本週營業時間,"24.534221,120.8480194"
漫時光咖啡,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrsoEmKzb0IRifCLhpM38jQ401ticX8mmxBG9gKQgMGqe9rOL2P1KDpU1E0FO6KQF68_pSXKQVYx3tL8gO9jEOszPne8hi8p16GvZ6vn6OIcT9xxl-TBPU-pi9z155yHeSfoP0c=w80-h106-k-no,4.2,453,https://www.google.com.tw/maps/place/%E6%BC%AB%E6%99%82%E5%85%89%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3469046bffffffff:0x9660462ba9cc7e1e!8m2!3d24.377871!4d120.7835722!16s%2Fg%2F1pzrwlvnk!19sChIJ_____2sEaTQRHn7MqStGYJY?authuser=0&hl=zh-TW&rclk=1,367苗栗縣三義鄉龍騰村9之5號,星期四、休息; 星期五、13:30 到 17:00; 星期六、11:30 到 17:30; 星期日、11:30 到 17:30; 星期一、13:30 到 17:00; 星期二、13:30 到 17:00; 星期三、休息. 隱藏本週營業時間,"24.377871,120.7835722"
