Name,Rate,Comm,Url,Address,Business_Time
D'or Cafe,4.6,"2,693",https://www.google.com.tw/maps/place/D%27or+Cafe/data=!4m7!3m6!1s0x3442a890427a75f1:0xab44696848631db5!8m2!3d25.063652!4d121.4583793!16s%2Fg%2F11fzhmy177!19sChIJ8XV6QpCoQjQRtR1jSGhpRKs?authuser=0&hl=zh-TW&rclk=1,242新北市新莊區五工路66號1樓,星期一、10:00 到 18:00; 星期二、10:00 到 18:00; 星期三、10:00 到 18:00; 星期四、10:00 到 18:00; 星期五、10:00 到 18:00; 星期六、09:00 到 18:00; 星期日、09:00 到 18:00. 隱藏本週營業時間
Merci vielle,4.6,880,https://www.google.com.tw/maps/place/Merci+vielle/data=!4m7!3m6!1s0x3442a81d5318045f:0x3a4930dd7b47003c!8m2!3d25.0096556!4d121.4571433!16s%2Fg%2F11cn0ph6bz!19sChIJXwQYUx2oQjQRPABHe90wSTo?authuser=0&hl=zh-TW&rclk=1,220新北市板橋區府中路50號2樓,星期一、13:00 到 22:00; 星期二、13:00 到 22:00; 星期三、13:00 到 22:00; 星期四、13:00 到 22:00; 星期五、13:00 到 22:00; 星期六、13:00 到 22:00; 星期日、13:00 到 22:00. 隱藏本週營業時間
Merci Cafe,4.2,"2,173",https://www.google.com.tw/maps/place/Merci+Cafe/data=!4m7!3m6!1s0x3442a81e8ec93585:0x7af768d9e0a1a048!8m2!3d25.010337!4d121.4634209!16s%2Fg%2F11g_ms64h!19sChIJhTXJjh6oQjQRSKCh4Nlo93o?authuser=0&hl=zh-TW&rclk=1,220新北市板橋區新民街7巷17號,星期一、09:00 到 17:00; 星期二、休息; 星期三、09:00 到 17:00; 星期四、09:00 到 17:00; 星期五、09:00 到 17:00; 星期六、09:00 到 17:00; 星期日、09:00 到 17:00. 隱藏本週營業時間
dateless,4.6,441,https://www.google.com.tw/maps/place/dateless/data=!4m7!3m6!1s0x3442a9aa768d96b3:0x43173317fcb4a700!8m2!3d25.0618236!4d121.5028353!16s%2Fg%2F11hg5pscms!19sChIJs5aNdqqpQjQRAKe0_BczF0M?authuser=0&hl=zh-TW&rclk=1,,星期一、休息; 星期二、10:00 到 18:00; 星期三、10:00 到 18:00; 星期四、10:00 到 18:00; 星期五、10:00 到 18:00; 星期六、10:00 到 18:00; 星期日、10:00 到 18:00. 隱藏本週營業時間
稼咖啡Jia Cafe Co-working space,4.5,809,https://www.google.com.tw/maps/place/%E7%A8%BC%E5%92%96%E5%95%A1Jia+Cafe+Co-working+space/data=!4m7!3m6!1s0x3442a81f91e9375b:0x513a781c62f85cbc!8m2!3d25.0083561!4d121.4676912!16s%2Fg%2F11df7yd509!19sChIJWzfpkR-oQjQRvFz4Yhx4OlE?authuser=0&hl=zh-TW&rclk=1,220新北市板橋區民族路129巷10號,星期一、休息; 星期二、休息; 星期三、11:00 到 21:00; 星期四、11:00 到 21:00; 星期五、11:00 到 20:00; 星期六、11:00 到 21:00; 星期日、11:00 到 21:00. 隱藏本週營業時間
旭舊咖啡 Shiujiou’s cafe!,4.4,436,https://www.google.com.tw/maps/place/%E6%97%AD%E8%88%8A%E5%92%96%E5%95%A1+Shiujiou%E2%80%99s+cafe!/data=!4m7!3m6!1s0x3442a9646c6ea4b3:0xa5d6f3c200f11858!8m2!3d25.0128361!4d121.4706195!16s%2Fg%2F11k56gj1qy!19sChIJs6RubGSpQjQRWBjxAMLz1qU?authuser=0&hl=zh-TW&rclk=1,220新北市板橋區中山路一段206巷39號,星期一、11:00 到 19:00; 星期二、11:00 到 19:00; 星期三、11:00 到 19:00; 星期四、11:00 到 19:00; 星期五、11:00 到 19:00; 星期六、11:00 到 20:00; 星期日、11:00 到 20:00. 隱藏本週營業時間
Ten Ten Den Den 點點甜甜,4.3,"1,723",https://www.google.com.tw/maps/place/Ten+Ten+Den+Den+%E9%BB%9E%E9%BB%9E%E7%94%9C%E7%94%9C/data=!4m7!3m6!1s0x3442a81a160431bf:0x1253b4b5e8b68236!8m2!3d25.0173549!4d121.461712!16s%2Fg%2F11c3tr8g_9!19sChIJvzEEFhqoQjQRNoK26LW0UxI?authuser=0&hl=zh-TW&rclk=1,,星期一、12:30 到 20:00; 星期二、12:30 到 20:00; 星期三、12:30 到 20:00; 星期四、12:30 到 20:00; 星期五、12:30 到 20:00; 星期六、12:30 到 20:00; 星期日、12:30 到 20:00. 隱藏本週營業時間
良師塾人文食飲 Literati cafe,4.8,"5,975",https://www.google.com.tw/maps/place/%E8%89%AF%E5%B8%AB%E5%A1%BE%E4%BA%BA%E6%96%87%E9%A3%9F%E9%A3%B2+Literati+cafe/data=!4m7!3m6!1s0x346802a7f2c7da77:0x81ab4967b3607000!8m2!3d25.0082526!4d121.4583994!16s%2Fg%2F11gfd4xc05!19sChIJd9rH8qcCaDQRAHBgs2dJq4E?authuser=0&hl=zh-TW&rclk=1,,
BUNA CAF'E 布納咖啡館 中和公園館,4.6,"2,522",https://www.google.com.tw/maps/place/BUNA+CAF%27E+%E5%B8%83%E7%B4%8D%E5%92%96%E5%95%A1%E9%A4%A8+%E4%B8%AD%E5%92%8C%E5%85%AC%E5%9C%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a906738ce885:0x76e55af69ad0d1fa!8m2!3d25.0014761!4d121.5126447!16s%2Fg%2F11s3d6yzpq!19sChIJheiMcwapQjQR-tHQmvZa5XY?authuser=0&hl=zh-TW&rclk=1,,星期一、09:00 到 22:00; 星期二、09:00 到 22:00; 星期三、09:00 到 22:00; 星期四、09:00 到 22:00; 星期五、09:00 到 22:00; 星期六、09:00 到 22:00; 星期日、09:00 到 22:00. 隱藏本週營業時間
KOYA COFFEE,4.5,598,https://www.google.com.tw/maps/place/KOYA+COFFEE/data=!4m7!3m6!1s0x3442a84074c4acff:0x7e5a4340d4b4e913!8m2!3d25.0275547!4d121.4699712!16s%2Fg%2F11fxvp5ll7!19sChIJ_6zEdECoQjQRE-m01EBDWn4?authuser=0&hl=zh-TW&rclk=1,220新北市板橋區文化路二段125巷56號1樓,星期一、休息; 星期二、10:00 到 17:00; 星期三、10:00 到 17:00; 星期四、10:00 到 17:00; 星期五、10:00 到 17:00; 星期六、10:00 到 17:00; 星期日、10:00 到 17:00. 隱藏本週營業時間
