Name,Rate,Comm,Url,Address,Business_Time
Jo's Corner Café-桃園人氣咖啡|手沖咖啡|特色輕食|自家烘焙咖啡|人氣甜點|甜點推薦|手工麵包|現烤麵包,4.1,"1,014",https://www.google.com.tw/maps/place/Jo%27s+Corner+Caf%C3%A9-%E6%A1%83%E5%9C%92%E4%BA%BA%E6%B0%A3%E5%92%96%E5%95%A1%7C%E6%89%8B%E6%B2%96%E5%92%96%E5%95%A1%7C%E7%89%B9%E8%89%B2%E8%BC%95%E9%A3%9F%7C%E8%87%AA%E5%AE%B6%E7%83%98%E7%84%99%E5%92%96%E5%95%A1%7C%E4%BA%BA%E6%B0%A3%E7%94%9C%E9%BB%9E%7C%E7%94%9C%E9%BB%9E%E6%8E%A8%E8%96%A6%7C%E6%89%8B%E5%B7%A5%E9%BA%B5%E5%8C%85%7C%E7%8F%BE%E7%83%A4%E9%BA%B5%E5%8C%85/data=!4m7!3m6!1s0x34681fdcae031233:0xb03ce5cf4fa4ac6d!8m2!3d24.9924467!4d121.2858294!16s%2Fg%2F11hzhwjztc!19sChIJMxIDrtwfaDQRbaykT8_lPLA?authuser=0&hl=zh-TW&rclk=1,,星期一、11:30 到 19:00; 星期二、12:00 到 16:30; 星期三、11:30 到 19:00; 星期四、11:30 到 19:00; 星期五、11:30 到 19:00; 星期六、11:30 到 19:00; 星期日、11:30 到 19:00. 隱藏本週營業時間
只是光影 獨立咖啡廳（精品咖啡、手工蛋糕、腿排沙拉）,4.6,976,https://www.google.com.tw/maps/place/%E5%8F%AA%E6%98%AF%E5%85%89%E5%BD%B1+%E7%8D%A8%E7%AB%8B%E5%92%96%E5%95%A1%E5%BB%B3%EF%BC%88%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1%E3%80%81%E6%89%8B%E5%B7%A5%E8%9B%8B%E7%B3%95%E3%80%81%E8%85%BF%E6%8E%92%E6%B2%99%E6%8B%89%EF%BC%89/data=!4m7!3m6!1s0x34681efc2367975f:0xaa7e477b88bf6513!8m2!3d24.9940565!4d121.3119897!16s%2Fg%2F1td10_kr!19sChIJX5dnI_weaDQRE2W_iHtHfqo?authuser=0&hl=zh-TW&rclk=1,,星期一、14:00 到 19:00; 星期二、休息; 星期三、休息; 星期四、14:00 到 19:00; 星期五、14:00 到 19:00; 星期六、14:00 到 19:00; 星期日、14:00 到 19:00. 隱藏本週營業時間
凱莉日嚐 CAILY CAFE《甜點推薦》桃園區咖啡廳推薦｜人氣甜點｜甜點下午茶｜平價咖啡店｜好評咖啡廳｜飲料店｜甜點店,4.6,349,https://www.google.com.tw/maps/place/%E5%87%B1%E8%8E%89%E6%97%A5%E5%9A%90+CAILY+CAFE%E3%80%8A%E7%94%9C%E9%BB%9E%E6%8E%A8%E8%96%A6%E3%80%8B%E6%A1%83%E5%9C%92%E5%8D%80%E5%92%96%E5%95%A1%E5%BB%B3%E6%8E%A8%E8%96%A6%EF%BD%9C%E4%BA%BA%E6%B0%A3%E7%94%9C%E9%BB%9E%EF%BD%9C%E7%94%9C%E9%BB%9E%E4%B8%8B%E5%8D%88%E8%8C%B6%EF%BD%9C%E5%B9%B3%E5%83%B9%E5%92%96%E5%95%A1%E5%BA%97%EF%BD%9C%E5%A5%BD%E8%A9%95%E5%92%96%E5%95%A1%E5%BB%B3%EF%BD%9C%E9%A3%B2%E6%96%99%E5%BA%97%EF%BD%9C%E7%94%9C%E9%BB%9E%E5%BA%97/data=!4m7!3m6!1s0x34681f056e453777:0x52c7225010e0f556!8m2!3d25.022154!4d121.2959627!16s%2Fg%2F11krygwfgw!19sChIJdzdFbgUfaDQRVvXgEFAix1I?authuser=0&hl=zh-TW&rclk=1,,星期一、08:30 到 20:00; 星期二、08:30 到 20:00; 星期三、08:30 到 20:00; 星期四、08:30 到 20:00; 星期五、08:30 到 20:00; 星期六、08:30 到 20:00; 星期日、08:30 到 20:00. 隱藏本週營業時間
NIJI Pâtisserie & Café 之虹法式甜點咖啡（不接受當日和國定假日預約),4.8,104,https://www.google.com.tw/maps/place/NIJI+P%C3%A2tisserie+%26+Caf%C3%A9+%E4%B9%8B%E8%99%B9%E6%B3%95%E5%BC%8F%E7%94%9C%E9%BB%9E%E5%92%96%E5%95%A1%EF%BC%88%E4%B8%8D%E6%8E%A5%E5%8F%97%E7%95%B6%E6%97%A5%E5%92%8C%E5%9C%8B%E5%AE%9A%E5%81%87%E6%97%A5%E9%A0%90%E7%B4%84%29/data=!4m7!3m6!1s0x34681f7d433075f9:0x85e68bd5fdb89fa7!8m2!3d24.9961208!4d121.3173816!16s%2Fg%2F11t_hsz19p!19sChIJ-XUwQ30faDQRp5-4_dWL5oU?authuser=0&hl=zh-TW&rclk=1,,星期一、休息; 星期二、休息; 星期三、12:00 到 18:00; 星期四、12:00 到 18:00; 星期五、休息; 星期六、12:00 到 18:00; 星期日、12:00 到 18:00. 隱藏本週營業時間
有沐咖啡,4.5,439,https://www.google.com.tw/maps/place/%E6%9C%89%E6%B2%90%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x34681fae2afb7297:0x95a2f0b2a0347d63!8m2!3d24.9971919!4d121.2966723!16s%2Fg%2F11tn64gvn_!19sChIJl3L7Kq4faDQRY300oLLwopU?authuser=0&hl=zh-TW&rclk=1,330桃園市桃園區力行路385巷68-2號,星期一、10:30 到 18:00; 星期二、10:30 到 18:00; 星期三、10:30 到 18:00; 星期四、10:30 到 18:00; 星期五、10:30 到 18:00; 星期六、10:30 到 18:00; 星期日、10:30 到 18:00. 隱藏本週營業時間
ComeTrue成真咖啡 桃園藝文町店（鄰近火車站/日式建築）,4.6,"2,886",https://www.google.com.tw/maps/place/ComeTrue%E6%88%90%E7%9C%9F%E5%92%96%E5%95%A1+%E6%A1%83%E5%9C%92%E8%97%9D%E6%96%87%E7%94%BA%E5%BA%97%EF%BC%88%E9%84%B0%E8%BF%91%E7%81%AB%E8%BB%8A%E7%AB%99%2F%E6%97%A5%E5%BC%8F%E5%BB%BA%E7%AF%89%EF%BC%89/data=!4m7!3m6!1s0x34681f140ee76eab:0x5b9baa0f13d3e1ef!8m2!3d24.9918043!4d121.3112554!16s%2Fg%2F11g0vzjqj9!19sChIJq27nDhQfaDQR7-HTEw-qm1s?authuser=0&hl=zh-TW&rclk=1,,星期一、09:00 到 21:00; 星期二、09:00 到 21:00; 星期三、09:00 到 21:00; 星期四、09:00 到 21:00; 星期五、09:00 到 21:00; 星期六、09:00 到 21:00; 星期日、09:00 到 21:00. 隱藏本週營業時間
鹿點咖啡 Luna桃園店,4.5,"1,430",https://www.google.com.tw/maps/place/%E9%B9%BF%E9%BB%9E%E5%92%96%E5%95%A1+Luna%E6%A1%83%E5%9C%92%E5%BA%97/data=!4m7!3m6!1s0x34681e5b94994bbf:0xbfa41e3da7d1c123!8m2!3d25.0043665!4d121.3245165!16s%2Fg%2F11f2t_kvb2!19sChIJv0uZlFseaDQRI8HRpz0epL8?authuser=0&hl=zh-TW&rclk=1,330桃園市桃園區成功路三段175號,星期一、12:00 到 18:00; 星期二、12:00 到 20:00; 星期三、12:00 到 20:00; 星期四、12:00 到 20:00; 星期五、12:00 到 20:00; 星期六、10:00 到 18:00; 星期日、10:00 到 18:00. 隱藏本週營業時間
習作咖啡部(店休日請看fb或ig),4.7,390,https://www.google.com.tw/maps/place/%E7%BF%92%E4%BD%9C%E5%92%96%E5%95%A1%E9%83%A8%28%E5%BA%97%E4%BC%91%E6%97%A5%E8%AB%8B%E7%9C%8Bfb%E6%88%96ig%29/data=!4m7!3m6!1s0x34681eeffc554b13:0xb8e3a9629a42ff6b!8m2!3d24.9878124!4d121.3203683!16s%2Fg%2F11b6xrd4wf!19sChIJE0tV_O8eaDQRa_9CmmKp47g?authuser=0&hl=zh-TW&rclk=1,330桃園市桃園區林森路6巷37號,星期一、12:00 到 19:00; 星期二、12:00 到 19:00; 星期三、12:00 到 19:00; 星期四、12:00 到 19:00; 星期五、12:00 到 19:00; 星期六、12:00 到 19:00; 星期日、12:00 到 19:00. 隱藏本週營業時間
我們。 他們 咖啡廳,4.7,"1,019",https://www.google.com.tw/maps/place/%E6%88%91%E5%80%91%E3%80%82+%E4%BB%96%E5%80%91+%E5%92%96%E5%95%A1%E5%BB%B3/data=!4m7!3m6!1s0x3468224b4faa038b:0x99b608500dc61bf0!8m2!3d24.9543282!4d121.2175383!16s%2Fg%2F11g9qgrxbf!19sChIJiwOqT0siaDQR8BvGDVAItpk?authuser=0&hl=zh-TW&rclk=1,320桃園市中壢區長安街1之 13號,星期一、13:30 到 21:00; 星期二、休息; 星期三、13:30 到 21:00; 星期四、13:30 到 21:00; 星期五、13:30 到 21:00; 星期六、13:30 到 21:00; 星期日、13:30 到 21:00. 隱藏本週營業時間
光咖啡/咖啡甜點外帶店,4.8,112,https://www.google.com.tw/maps/place/%E5%85%89%E5%92%96%E5%95%A1%2F%E5%92%96%E5%95%A1%E7%94%9C%E9%BB%9E%E5%A4%96%E5%B8%B6%E5%BA%97/data=!4m7!3m6!1s0x34681fdb45f222af:0x18ffdc6664fbdf7e!8m2!3d24.9944715!4d121.2984536!16s%2Fg%2F11pwty1lmm!19sChIJryLyRdsfaDQRft_7ZGbc_xg?authuser=0&hl=zh-TW&rclk=1,330桃園市桃園區廈門街61巷1號,星期一、08:00 到 18:00; 星期二、08:00 到 18:00; 星期三、08:00 到 18:00; 星期四、08:00 到 18:00; 星期五、08:00 到 18:00; 星期六、休息; 星期日、13:00 到 18:00. 隱藏本週營業時間
